station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Smile 90.4FM,station,,,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|station,radio_smile_90_4fm,radio_station
Smile 90.4FM,slot,00:00-04:00,weekday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|weekday|00:00-04:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,04:00-06:00,weekday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|weekday|04:00-06:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,06:00-09:00,weekday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|weekday|06:00-09:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,09:00-13:00,weekday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|weekday|09:00-13:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,13:00-16:00,weekday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|weekday|13:00-16:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,16:00-19:00,weekday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|weekday|16:00-19:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,19:00-21:00,weekday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|weekday|19:00-21:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,21:00-00:00,weekday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|weekday|21:00-00:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,00:00-06:00,saturday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|saturday|00:00-06:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,slot,00:00-06:00,sunday,,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|slot|sunday|00:00-06:00,radio_smile_90_4fm,radio_slot
Smile 90.4FM,package,,,Impact Plus Package,90.4 FM,regional,western_cape,Cape Town; Paarl; Stellenbosch; Somerset West,english; afrikaans,Cape Town metro lifestyle audience.,35-49,Female-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town; adult contemporary; bilingual; lifestyle; metro; community; travel; mobility,,,,https://smilefm.co.za/about-us/; https://www.unitedstations.co.za/smile-90-4fm/; https://www.unitedstations.co.za/tag/lois-obrien/,,,radio_smile_90_4fm|package|Impact Plus Package,radio_smile_90_4fm,radio_package
