station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Radio 2000,station,,,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R2,500–R4,000 per 30"" spot; Drive (16:00–18:00): R2,000–R3,500 (SABC FY2024-2025 rate card) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_radio_2000|station,radio_radio_2000,radio_station
Radio 2000,slot,00:00-04:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|00:00-04:00,radio_radio_2000,radio_slot
Radio 2000,slot,04:00-06:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|04:00-06:00,radio_radio_2000,radio_slot
Radio 2000,slot,06:00-09:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|06:00-09:00,radio_radio_2000,radio_slot
Radio 2000,slot,09:00-12:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|09:00-12:00,radio_radio_2000,radio_slot
Radio 2000,slot,12:00-15:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|12:00-15:00,radio_radio_2000,radio_slot
Radio 2000,slot,15:00-18:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|15:00-18:00,radio_radio_2000,radio_slot
Radio 2000,slot,18:00-19:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|18:00-19:00,radio_radio_2000,radio_slot
Radio 2000,slot,19:00-21:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|19:00-21:00,radio_radio_2000,radio_slot
Radio 2000,slot,21:00-24:00,weekday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|weekday|21:00-24:00,radio_radio_2000,radio_slot
Radio 2000,slot,00:00-03:00,saturday,,24/7 national AM + FM + streaming; talk/sport format,national,national,,english; afrikaans,"Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual",Adults 15+,Male-leaning,LSM 5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; music; talk,,,,,,,radio_radio_2000|slot|saturday|00:00-03:00,radio_radio_2000,radio_slot
