station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Ikwekwezi FM,station,,,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.,,,,radio_ikwekwezi_fm|station,radio_ikwekwezi_fm,radio_station
Ikwekwezi FM,slot,00:00-03:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|00:00-03:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,03:00-05:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|03:00-05:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,05:00-06:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|05:00-06:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,06:00-09:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|06:00-09:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,09:00-12:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|09:00-12:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,12:00-15:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|12:00-15:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,15:00-18:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|15:00-18:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,18:00-19:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|18:00-19:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,19:00-21:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|19:00-21:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,21:00-24:00,weekday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|weekday|21:00-24:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,00:00-03:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|00:00-03:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,03:00-06:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|03:00-06:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,06:00-07:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|06:00-07:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,07:00-09:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|07:00-09:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,09:00-10:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|09:00-10:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,10:00-12:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|10:00-12:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,12:00-15:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|12:00-15:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,15:00-18:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|15:00-18:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,18:00-21:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|18:00-21:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,21:00-24:00,saturday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|saturday|21:00-24:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,00:00-03:00,sunday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|sunday|00:00-03:00,radio_ikwekwezi_fm,radio_slot
Ikwekwezi FM,slot,03:00-06:00,sunday,,"24/7 terrestrial FM; isiNdebele-speaking national service with primary reach across Mpumalanga, Gauteng, Limpopo, and parts of North West",national,mpumalanga; gauteng; limpopo; north_west,,isindebele,"isiNdebele-speaking audiences nationally, with strongest concentration across Mpumalanga, Gauteng, Limpopo, and parts of North West.",Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiNdebele; community; music; talk; Mpumalanga; Gauteng; Limpopo; North West; national reach,,,,,,,radio_ikwekwezi_fm|slot|sunday|03:00-06:00,radio_ikwekwezi_fm,radio_slot
