station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Lesedi FM,station,,,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R12,000–R16,000 per 30"" spot; Drive (16:00–18:00): R9,000–R12,000 (SABC FY2024-2025 rate card) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_lesedi_fm|station,radio_lesedi_fm,radio_station
Lesedi FM,slot,00:00-02:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|00:00-02:00,radio_lesedi_fm,radio_slot
Lesedi FM,slot,02:00-05:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|02:00-05:00,radio_lesedi_fm,radio_slot
Lesedi FM,slot,05:00-06:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|05:00-06:00,radio_lesedi_fm,radio_slot
Lesedi FM,slot,06:00-09:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|06:00-09:00,radio_lesedi_fm,radio_slot
Lesedi FM,slot,09:00-12:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|09:00-12:00,radio_lesedi_fm,radio_slot
Lesedi FM,slot,12:00-12:30,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|12:00-12:30,radio_lesedi_fm,radio_slot
Lesedi FM,slot,12:30-15:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|12:30-15:00,radio_lesedi_fm,radio_slot
Lesedi FM,slot,15:00-18:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|15:00-18:00,radio_lesedi_fm,radio_slot
Lesedi FM,slot,18:00-19:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|18:00-19:00,radio_lesedi_fm,radio_slot
Lesedi FM,slot,19:00-20:00,weekday,,"24/7 terrestrial FM; Sesotho-language, national with Lesotho spillover",regional,free_state,Bloemfontein,sesotho,Sesotho-speaking and understanding communities.,Adults 15+,Female-leaning,LSM 4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,Sesotho; Free State; community; music; talk,,,,,,,radio_lesedi_fm|slot|weekday|19:00-20:00,radio_lesedi_fm,radio_slot
