source_file,page,site_title,site_description,city_province,media_format,site_number,rate_card_zar,discounted_rate_zar,city_town,suburb,address,production_flighting_zar,material,illuminated,lsm,available,traffic_count,gps_coordinates,dimensions,kmz_file
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,3,"CBD, Johannesburg","Directly opposite the End Street North Park, next to Shoprite, building anchored by Shoprite LiquorShop and one of the busiest KFC outlets.",Johannesburg | Gauteng,Static Wall Billboard | Outdoor,BS-013,60 000,45 000,Johannesburg,CBD,"Production & 22 500
 409 End Street, Johannesburg.",,PVC,Yes,4-8 End Str.kmz,,900 000,"26°11'55""S 28°03’10”E","8,5m (h) x 6m (w) = 51,5m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,4,"Gandhi Square,, Johannesburg","Site Description Prominent landmark in Johannesburg’s CBD, is a bustling intersection of retail, lifestyle and public transport hub with Rea Via Bus Transit, Gautrain Buses and Taxis.",Johannesburg | Gauteng,Static Wall Wrap | Outdoor,BS-015,160 000,120 000,Johannesburg,"Gandhi Square, Marshalltown","Production & 80 000
 29 Rissik Street, Johannesburg.",,PVC,Yes,4 – 9+,Immediately,1 500 000,"26°12'24""S 28°02'31""E",25m (h) x 20m (w) +25m (h) x 50m (w),Immediately Gandhi Square.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,5,"Hyde Park,, Johannesburg","Site Description Premium indoor screen, located in the middle of Hyde Park Corner shopping centre, Centre Court area .",Johannesburg | Gauteng,Digital Screen | Indoor,BS-111,15 000,10 000,Johannesburg,"Hyde Park Corner, Hyde Park",,,,,6 – 10+ Hyde Park,Immediately,3 500 000,"Notes: 26°07'30""S 28°01'58""E","1,92m (h) x 3,52m (w) = 6,76m²",Corner.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,6,"Hyde Park,, Johannesburg","Site Description Hyde Park Corner shopping centre: 3x sided Large format static site, visible traveling in both directions on Jan Smuts in Hyde Park Corner shopping centre, .",Johannesburg | Gauteng,Static Tower Wrap | Outdoor,BS-112,100 000,80 000,Johannesburg,"Hyde Park Corner, Hyde Park","Production & 57 500
 Cnr Winnie Makizela & Jan Smuts,",,PVC,Yes,6 – 10+,"Q4/2025 Hyde Park
Traffic Count: 3 500 000 Currently booked till Q3/25 GPS Coordinates:",3 500 000,Corner.kmz,22m (h) x 18m (w) (all 3 sides) =1186m²,Corner.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,7,"Rosebank,, Johannesburg","Site Description Rosebank Mall has a single digital screen at the Main Entrance, right outside Woolworths store.",Johannesburg | Gauteng,Digital Screen | Indoor,BS-113,20 000,15 000,Johannesburg,"Rosebank Mall, Rosebank",,,,,6 – 10+,Immediately,1 000 000,"Notes: 26°08'46""S 28°02'30""E","2,24m (h) x 3,84m (w) = 8,60m² over 2 levels at R20 000 (excl. production).",Immediately Rosebank Mall.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,8,"Rosebank,, Johannesburg","Site Description Rosebank Mall, has a Corner Wrap outside the mall, right on top of the busy Shell filling station.",Johannesburg | Gauteng,Static Corner Wrap | Outdoor,BS-114,30 000,25 000,Johannesburg,"Rosebank Mall, Rosebank","Production & 22 500
 Cradock Ave, Rosebank,",,PVC,Yes,6 – 10+ Rosebank Mall.kmz,,1 000 000,"Notes: 26°08'46""S 28°02'30""E",8m (h) x 15m (w) = 120m²,
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,9,"The Glen Mall,, Johannesburg","Site Description The Glen Mall has a double-sided digital screen in the Food Court, suspended from the roof facing both directions..",Johannesburg | Gauteng,Digital Screen | Indoor,BS-115,20 000,15 000,Johannesburg,"The Glen Mall, Oakdene",,,,Yes,5 – 9+ The Glen Mall.kmz,,900 000,"Notes: 26°16'09""S 28°02'55""E","2,4m (h) x 4,16m (w) = 9,98m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,10,"N12 | The Glen,, Johannesburg",,"N12 | The Glen,",Johannesburg,BS-116,100 000,80 000,Johannesburg,"The Glen Mall, Oakdene","Production & 57 500
 The Glen Mall, Oakdene, Johannesburg",,PVC,Yes,5 – 9+ The Glen Mall.kmz,,900 000,"Notes: 26°16'09""S 28°02'55""E","4,3m (h) x 78m (w) = 335,4m²",
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,11,"Soweto,, Johannesburg","Site Description Prime billboard on bustling Helpmekaar Road! Positioned to capture heavy traffic from R41 Main Reef Road, offering unparalleled exposure to a steady stream of commuters traveling into and out of Soweto.",Johannesburg | Gauteng,Static Parking Wrap | Outdoor,BS-119,55 000,45 000,Johannesburg,"Fleufhof, Soweto","Production & 35 000 x 4
 Helpmekaar Road, Fluerhof, Soweto",,PVC,Yes,4 – 8+,Immediately,1 500 000,"26°11'17""S 27°54'00""E",12m (h) x 5m (w) x 4 = 240m²,Immediately Fluerhof.kmz
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,12,"Soweto,, Johannesburg","Site Description Prime location in Soweto’s upmarket suburb, DiepKloof. This busy intersections facilitates traffic in and out of Soweto from the major motorways.",Johannesburg | Gauteng,Static Billboard | Outdoor,BS-120,45 000,40 000,Johannesburg,"DiepKloof, Soweto","Production & 29 500
 Ben Naude Drive and Martinis Smuts",,PVC Ben Naude Dr &,Yes,4 – 9+,,1 250 000,"26°14'59.13""S 27°57'14.20""E",3m (h) x 30m (w) = 90m²,
