source_file,channel_type,product_name,package_cost_zar,spots_count,avg_cost_per_spot_zar,exposure_value_zar,audience_segment,date_range_text,notes,raw_excerpt
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,SABC,,,,,,,,"RADIO RATES
JULY 2024 – JUNE 2025
Standard SABC Radio terms and conditions apply.
All rates are quoted exclusive of VAT, and no agency commission applies."
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,SABC,,,,,,,,"SABC Radio Is In Every Province
 Speaking to Every SA Language

 NATIONAL MPUMALANGA FREE STATE KWA ZULU-NATAL LIMPOPO

 National broadcaster
 with 19 stations, broadcasting
 English - 566,000 sePedi - 2,713,000 in 12 languages & reaching
 26.7 mil (61%) of South
 seSotho - 3,529,000
 isiSwati - 1,277,000 Africans.
 English - 237,000
 EASTERN CAPE
Afrikaans - 1,265,000

 TshiVenda - 1,119,000
 isiXhosa - 4,183,000

 English -1,929,000 isiZulu - 7,546,000
 isiNdebele - 1,156,000
 XiTsonga - 1,424,000
 NORTHERN
 NORTH WEST CAPE
 WESTERN CAPE AFRICA AND BEYOND
 isiXhosa/Eng - 252,000
 English - 4,629,000
 NORTHERN CAPE

 seTswana - 3,042,000 !Xuntali & Khwedam Eng/Afr - 680,000
 English - 893,000 1 000
 Listenership: Adults (Age 15+)
 Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,Metro FM,,,,,,,,"MG5
Metro FM 4
Good Hope FM 5
5FM 6

ALS
Ikwekwezi FM 7
Lesedi FM 8
Ligwalagwala FM 9
Motsweding FM 10
Munghana Lonene FM 11
Phalaphala FM 12
Thobela FM 13
Trufm 14
Ukhozi FM 15
Umhlobo Wenene FM 16
XK FM 17
Channel Africa 18

FORTUNE 4
Lotus FM 19
Radio 2000 20
RSG 21
SAfm 22

PRODUCTION
Rap studios rates 23

TERMS AND CONDITIONS
General Terms and Conditions 24

CONTACTS 25"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,Metro FM,,,,,,,,"metrofm.co.za
 NATIONAL
 METROFM COVERAGE
 Adults (Age 15+)
 @METROFMSA Listenership:
 4,629,000
 @METROFMSA

 METROFM
 NORTHERN
 @METROFMSA CAPE

 iono.fm/p/148

 EFFECTIVE 1 JULY 2024
 METRO FM is the largest national urban commercial
 TIME NETT TIME NETT TIME NETT station in South Africa. The station embodies and
 BAND RATES BAND RATES BAND RATES reflects the style and attitude of its listeners, who are
 MONDAY - FRIDAY SATURDAY SUNDAY ambitious, high flyers with the confidence that comes
 00:00-03:00 900 00:00-03:00 660 00:00-03:00 960 from being comfortable in a multiracial multicultural,
 03:00-05:00 960 03:00-06:00 1 410 03:00-06:00 1 290 South Africa.
 05:00-06:00 3 930 06:00-09:00 9 660 06:00-09:00 5 310
 06:00-07:00 32 760 09:00-12:00 14 520 09:00-12:00 8 310 Though primarily a music station METRO FM also
 07:00-08:00 32 760 12:00-15:00 11 460 12:00-15:00 8 760 delivers credible and unbiased news reporting that
 08:00-09:00 23 640 15:00-18:00 6 210 15:00-18:00 6 810 keeps its listeners’ involved and informed. As a brand,
 09:00-12:00 16 680 18:00-19:00 6 210 18:00-19:00 3 450 METRO FM is influential in driving the habits of its
 12:00-15:00 15 960 19:00-22:00 2 490 19:00-22:00 1 890 listeners as an extension of the listener’s lifestyle.
 15:00-16:00 17 400 22:00-24:00 2 490 22:00-24:00 1 890 METRO FM is well positioned as a primary vehicle to
 16:00-17:00 20 580 reach the emerging, influential and aspirant Black
 17:00-18:00 20 580 market.
 18:00-19:00 20 580
 19:00-21:00 7 860 METRO FM is a mentor and guide for youthful urban
 21:00-24:00 2 490 adults that embrace a pragmatic and successful life
 and is influential in their constantly changing
CONVERSION TABLE environment. As the iconic leader in its market,
 broadcasting in English, METRO FM is ideally
Duration: 5” 10” 15” 20” 25” 30” 35” 40” 45“ 50” 55” 60” positioned to deliver both a global and national
 perspective that instills confidence and inspires its
Multiply Rate 0.75 0.75 0.75 0.80 0.80 1.00 1.15 1.30 1.50 1.65 1.80 2.00
 audiences. Its national footprint and progressive
Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4 audience profile offer advertisers a cost - effective
 medium to reach quality audiences."
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,Good Hope FM,,,,,,,,"goodhopefm.co.za

 Good Hope FM
 REGIONAL
 @goodhopefm COVERAGE
 Adults (Age 15+)
 Listenership:
 @GoodHopeFM 680,000
 Good Hope FM
 NORTHERN
 goodhopefmza CAPE

 Good Hope FM

 EFFECTIVE 1 JULY 2024
 TIME NETT TIME NETT TIME NETT TIME NETT
 BAND RATES BAND RATES BAND RATES BAND RATES
MONDAY - THURSDAY FRIDAY SATURDAY SUNDAY Good Hope FM is Cape Town’s original, leading
00:00-01:00 240 00:00-06:00 240 00:00-01:00 210 00:00-01:00 210 music focused interactive lifestyle radio station,
01:00-05:00 240 06:00-09:00 3 450 01:00-06:00 210 01:00-06:00 210 whose Contemporary Hit Radio format provides a
05:00-06:00 240 09:00-12:00 4 170 06:00-09:00 1 050 06:00-09:00 600 music mix of R&B, Pop, Hip Hop and Dance.
06:00-09:00 3 450 12:00-15:00 2 730 09:00-12:00 2 130 09:00-12:00 1 170
09:00-12:00 4 170 15:00-18:00 3 210 12:00-15:00 960 12:00-15:00 780 The Good Hope FM footprint covers the Cape
12:00-15:00 2 490 18:00-22:00 2 010 15:00-18:00 330 15:00-18:00 540 including the city, surrounding towns and villages,
15:00-18:00 3 210 22:00-24:00 1 290 18:00-22:00 540 18:00-22:00 300 the Overberg and Plettenberg Bay, targeting
18:00-22:00 2 010 22:00-24:00 270 22:00-24:00 240 young, global, routed and now generation
22:00-24:00 960 listeners.

CONVERSION TABLE
Duration: 5” 10” 15” 20” 25” 30” 35” 40” 45“ 50” 55” 60”

Multiply Rate 0.75 0.75 0.75 0.80 0.80 1.00 1.15 1.30 1.50 1.65 1.80 2.00

Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,5FM,,,,,,,,"5fm.co.za
 NATIONAL
 5FM(thepowerof5fm) COVERAGE
 Adults (Age 15+)
 Listenership:
 @5FM
 893,000
 @5FM
 NORTHERN
 5FMTV CAPE

 5FM

 EFFECTIVE 1 JULY 2024
 5FM is not just a radio station. 5FM is a multimedia
 TIME NETT TIME TIME NETT
 BAND RATES BAND
 NETT
 BAND RATES
 brand that builds and shares content across digital and
 RATES
 on-air media channels informed by the youth. 5FM’s
 MONDAY - FRIDAY SATURDAY SUNDAY
 01:00-04:00 360 01:00-04:00 360 01:00-04:00 360 purpose is to bring together the youth of South Africa
 04:00-06:00 480 04:00-07:00 960 04:00-07:00 780 through the power of music.
 06:00-07:00 9 210 07:00-10:00 2 490 07:00-10:00 1 290
 07:00-08:00 10 110 10:00-14:00 4 170 10:00-14:00 3 210 As an entertainment powerhouse 5FM features some of
 08:00-09:00 10 110 14:00-18:00 2 250 14:00-18:00 2 970 the most well-known media personalities and music DJs
 09:00-12:00 8 760 18:00-19:00 1 890 18:00-21:00 1 530 in South Africa. The station embraces content that is
 12:00-15:00 4 410 19:00-22:00 2 010 21:00-01:00 900 relevant, youth driven and co-created with the 5FM
 15:00-16:00 7 860 22:00-01:00 420
 community while proudly supporting the South African
 16:00-17:00 9 660
 music industry.
 17:00-18:00 9 660
 18:00-19:00 10 110
 19:00-22:00 3 450 5FM has won numerous awards, including seven
 22:00-01:00 360 consecutive Generation Next awards for Coolest Radio
 Station and the Most Influential International Station at
 the Worldwide Radio Summit in Los Angeles. 5FM is the
CONVERSION TABLE only national platform that offers advertisers access to
 the upwardly mobile and trendsetting youth of South
Duration: 5” 10” 15” 20” 25” 30” 35” 40” 45“ 50” 55” 60”
 Africa.
Multiply Rate 0.75 0.75 0.75 0.80 0.80 1.00 1.15 1.30 1.50 1.65 1.80 2.00

Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,Ukhozi FM,,,,,,,,"ukhozifm.co.za

 @UkhoziFMOfficial RIGIONAL
 COVERAGE
 ukhozi_fm Adults (Age 15+)
 Listenership:
 7,546,000
 ukhozi_fm

 UkhoziFMTV NORTHERN
 CAPE
 @ukhozifm

 EFFECTIVE 1 JULY 2024
TIME NETT TIME NETT TIME NETT Ukhozi FM is the leading African Language Station in
BAND RATES BAND RATES BAND RATES South Africa with audiences in excess of 7.5 million.
MONDAY - FRIDAY SATURDAY SUNDAY Broadcasting from Durban in IsiZulu, the station is one of the
00:00-03:00 900 00:00-03:00 1 290 00:00-03:00 960 biggest in Africa and keeps its audiences connected to their
03:00-05:00 8 760 03:00-06:00 4 710 03:00-06:00 8 760
 cultural identity in a modern world context. Playing a mix of
 Maskandi, Mbaqanga, Kwaito, Gospel, Amapiano, Pop,
05:00-06:00 11 910 06:00-07:00 13 800 06:00-07:00 8 760
 House, Jazz, Hip Hop, and R&B music, it appeals to its
06:00-09:00 20 580 07:00-09:00 13 800 07:00-09:00 8 310
 audiences’ varied taste in African music.
09:00-12:00 17 400 09:00-12:00 12 360 09:00-12:00 8 310
12:00-12:30 11 460 12:00-15:00 7 110 12:00-15:00 5 010 Focused on edutainment and infotainment as a guiding
12:30-15:00 11 460 15:00-18:00 7 110 15:00-17:00 5 610 philosophy, it provides an interactive environment for its
15:00-18:00 19 560 18:00-21:00 3 450 17:00-20:00 3 210 listeners, giving them access to news, current affairs, talk
18:00-19:00 11 910 21:00-24:00 2 730 20:00-21:00 3 210 shows, music, sport, education, weather, and traffic.
19:00-20:00 9 660 21:00-24:00 660 Ukhozi FM’s priority is to provide a source of upliftment,
20:00-24:00 2 010 power, comfort, escapism, connectedness, and culture to its
 listeners.

CONVERSION TABLE Ukhozi FM has a vast following of IsiZulu speaking and
 understanding audiences in South Africa, in particular, the
Duration: 5” 10” 15” 20” 25” 30” 35” 40” 45“ 50” 55” 60” youth while reinforcing a sense of pride and culture. Boasting
 award-winning radio personalities and radio legends,
Multiply Rate 0.75 0.75 0.75 0.80 0.80 1.00 1.15 1.30 1.50 1.65 1.80 2.00 Ukhozi FM also provides constant learning and advice on
 adapting to the modern lifestyle essential for listeners’
Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4 personal development."
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,XK FM,,,,,,,,"RIGIONAL
 COVERAGE
 Adults (Age 15+)
 Listenership:
 SAfmRadio 1,000

 NORTHERN
 CAPE

 EFFECTIVE 1 JULY 2024
TIME NETT TIME NETT TIME NETT
BAND RATES BAND RATES BAND RATES XK FM targets the San people of Platfontein in
MONDAY - FRIDAY SATURDAY SUNDAY the Northern Cape to preserve the !Xun and Khwe
00:00-06:00 - 00:00-06:00 - 00:00-06:00 - cultures, uplifting, developing and informing the
06:00-09:00 390 06:00-09:00 360 06:00-09:00 360 communities. This community consists of the !Xun
09:00-12:00 390 09:00-12:00 360 09:00-12:00 360 who makes up 64% of listeners and the Khwe who
12:00-15:00 390 12:00-15:00 360 12:00-15:00 360 fall into LSM 1-6. Just under 30% of listeners are
15:00-19:00 390 15:00-19:00 360 15:00-19:00 360 aged 16-24, 30% are over 50, 34% are 25-34 and
19:00-21:00 390 19:00-21:00 360 19:00-21:00 360 15% are aged 35-49.
21:00-24:00 390 21:00-24:00 360 21:00-24:00 360
 Broadcasting in !Xuntali and Khwedam while
 Afrikaans serves as the station’s bridging
 language. The format consists of talk and music,
 with a strong focus on the San culture.

CONVERSION TABLE The music played is predominately traditional San
Duration: 5” 10” 15” 20” 25” 30” 35” 40” 45“ 50” 55” 60” music, as well as South African music and a small
 amount of international music. Talk revolves
Multiply Rate 0.75 0.75 0.75 0.80 0.80 1.00 1.15 1.30 1.50 1.65 1.80 2.00 around cultural matters and community life.

Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,Lotus FM,,,,,,,,"lotusfm.co.za
 REGIONAL
 @lotus.fm COVERAGE
 Adults (Age 15+)
 Listenership:
 @lotusfm 237,000

 @lotus_fm
 NORTHERN
 @lotusfm CAPE

 LotusFM

EFFECTIVE 1 JULY 2024

TIME NETT TIME NETT TIME NETT
BAND RATES BAND RATES BAND RATES
MONDAY - FRIDAY SATURDAY SUNDAY Lotus FM is all about fulfilling the cultural, information
00:00-05:00 210 00:00-05:00 180 00:00-06:00 180
 and entertainment needs of the affluent South African
05:00-06:00 720 05:00-06:00 240 06:00-09:00 900
 Indian population across three religious denominations
06:00-09:00 2 250 06:00-09:00 1 770 09:00-12:00 1 050
 (Hinduism, Islam, and Christianity) in six languages.
09:00-12:00 2 490 09:00-12:00 1 170 12:00-13:00 660
12:00-12:30 1 770 12:00-13:00 540 13:00-15:00 720
 Lotus FM’s programming policy is underpinned by
12:30-15:00 1 770 13:00-15:00 540 15:00-17:00 720
 core editorial values that reflect the proudly South
15:00-18:00 1 530 15:00-18:00 540 17:00-19:00 240
 African Indian identity, while affirming the audiences
18:00-19:00 420 18:00-21:00 240 19:00-22:00 300
 22:00-24:00 180
 rich Indian culture and heritage.
19:00-21:00 420 21:00-24:00 240
21:00-24:00 210
 The station’s discerning audience has an increased
 appetite for quality talk, latest news and the best in
 Eastern and Western music, while still maintaining a
CONVERSION TABLE strong affinity towards their religion and culture.
Duration: 5” 10” 15” 20” 25” 30” 35” 40” 45“ 50” 55” 60”

Multiply Rate 0.75 0.75 0.75 0.80 0.80 1.00 1.15 1.30 1.50 1.65 1.80 2.00

Source:BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,Radio 2000,,,,,,,,"radio2000.co.za
 NATIONAL
 COVERAGE
 Radio2000 Adults (Age 15+)
 Listenership:
 1,929,000
 radio2000_za

 NORTHERN
 Radio2000_ZA CAPE

 EFFECTIVE 1 JULY 2024
TIME NETT TIME NETT TIME NETT
BAND RATES BAND RATES BAND RATES
MONDAY - FRIDAY SATURDAY SUNDAY RADIO 2000 is a cosmopolitan Music driven national
00:00-04:00 420 00:00-03:00 330 00:00-03:00 480
 radio station that broadcasts in English. The station
04:00-06:00 720 03:00-06:00 960 03:00-06:00 660
 provides content that is of high quality and engages
06:00-09:00 3 690 06:00-09:00 2 250 06:00-09:00 2 010
 audiences in healthy discussions, that reflect and aim
09:00-12:00 2 490 09:00-12:00 2 250 09:00-12:00 2 250
 to unite South Africa’s diverse cultures.
12:00-15:00 2 490 12:00-15:00 1 890 12:00-15:00 2 250
15:00-18:00 3 690 15:00-18:00 2 010 15:00-18:00 2 250
 The programme offering is more Lifestyle, Family
18:00-19:00 2 970 18:00-21:00 1 050 18:00-19:00 960
 matters orientated with arts and culture dropping in
19:00-21:00 2 730 21:00-24:00 600 19:00-22:00 660
 once in a while as well as Travel, Sports News,
21:00-24:00 840 22:00-24:00 600
 Business and Personal Finance.

 The station also engages in national debates from a
CONVERSION TABLE mature informed perspective. In terms of
 demographics, RADIO 2000 attracts captains of
Duration: 5” 10” 15” 20” 25” 30” 35” 40” 45“ 50” 55” 60”
 Industry, opinion leaders and successful entrepreneurs.
Multiply Rate 0.75 0.75 0.75 0.80 0.80 1.00 1.15 1.30 1.50 1.65 1.80 2.00

Source: BRC RAMS Amplify Xtab Dec’23 RA23 Q4"
