station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Jozi FM,station,,,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|station,radio_jozi_fm,radio_station
Jozi FM,slot,00:00-05:00,weekday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|weekday|00:00-05:00,radio_jozi_fm,radio_slot
Jozi FM,slot,05:00-06:00,weekday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|weekday|05:00-06:00,radio_jozi_fm,radio_slot
Jozi FM,slot,06:00-09:00,weekday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|weekday|06:00-09:00,radio_jozi_fm,radio_slot
Jozi FM,slot,09:00-12:00,weekday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|weekday|09:00-12:00,radio_jozi_fm,radio_slot
Jozi FM,slot,12:00-15:00,weekday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|weekday|12:00-15:00,radio_jozi_fm,radio_slot
Jozi FM,slot,15:00-18:00,weekday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|weekday|15:00-18:00,radio_jozi_fm,radio_slot
Jozi FM,slot,18:00-22:00,weekday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|weekday|18:00-22:00,radio_jozi_fm,radio_slot
Jozi FM,slot,22:00-00:00,weekday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|weekday|22:00-00:00,radio_jozi_fm,radio_slot
Jozi FM,slot,00:00-06:00,saturday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|saturday|00:00-06:00,radio_jozi_fm,radio_slot
Jozi FM,slot,06:00-09:00,saturday,,105.8 FM,regional,gauteng,Johannesburg; Soweto,english; isizulu; sesotho; sepedi; setswana; xitsonga,"Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.",18-35,Male-leaning,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,community; Soweto; Johannesburg; multilingual; working-class; local culture; discussion; music,,,,https://www.jozifm.co.za/; https://en.wikipedia.org/wiki/Jozi_FM; https://www.unitedstations.co.za/jozi-fm/,,,radio_jozi_fm|slot|saturday|06:00-09:00,radio_jozi_fm,radio_slot
