"channel","station","station_id","usable_inventory_present","usable_row_count","pricing_status","missing_for_completion","coverage_type","catalog_health","broadcast_frequency","current_province_codes","current_city_labels","current_language_display","current_primary_languages","current_target_audience","current_audience_age_skew","current_audience_gender_skew","current_audience_lsm_range","current_audience_keywords","current_listenership_daily","current_listenership_weekly","current_usable_provinces","current_usable_cities","current_usable_languages","current_usable_rate_types","current_usable_slot_labels","current_usable_package_names","current_cost_zar_example","current_raw_rate_zar_example","current_investment_zar_example","current_cost_per_month_zar_example","current_value_zar_example","engine_buying_behaviour_fit","engine_price_positioning_fit","engine_sales_model_fit","engine_objective_fit_primary","engine_objective_fit_secondary","engine_environment_type","engine_premium_mass_fit","engine_data_confidence","fill_include_in_system","fill_supplier_or_owner","fill_sales_contact","fill_contact_email","fill_contact_phone","fill_rate_card_received","fill_numeric_spot_rate_30sec_zar","fill_numeric_spot_rate_notes","fill_package_name_1","fill_package_price_1_zar","fill_package_name_2","fill_package_price_2_zar","fill_package_name_3","fill_package_price_3_zar","fill_rate_card_currency","fill_pricing_source","fill_booking_route","fill_station_frequency_confirmed","fill_primary_languages","fill_age_skew","fill_gender_skew","fill_lsm_range","fill_audience_keywords","fill_buying_behaviour_fit","fill_price_positioning_fit","fill_sales_model_fit","fill_objective_fit_primary","fill_objective_fit_secondary","fill_environment_type","fill_premium_mass_fit","fill_data_confidence","fill_import_priority","fill_notes"
"radio","5FM","radio_5fm","yes","28","loaded_in_usable_inventory","review_and_complete_any_gaps","national","unknown","","national","","English","english","Upwardly mobile and trendsetting youth.","Youth","Balanced (slight male-leaning)","LSM 6-10","youth | music | multimedia | trendsetting | urban | hip hop | radio+digital","893000","","national","","english","spot","01:00-04:00 | 04:00-06:00 | 04:00-07:00 | 06:00-07:00 | 07:00-08:00 | 07:00-10:00 | 08:00-09:00 | 09:00-12:00 | 10:00-14:00 | 12:00-15:00 | 14:00-18:00 | 15:00-16:00 | 16:00-17:00 | 17:00-18:00 | 18:00-19:00 | 18:00-21:00 | 19:00-22:00 | 21:00-01:00 | 22:00-01:00","","360","360","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Algoa FM","radio_algoa_fm","yes","25","loaded_in_usable_inventory","review_and_complete_any_gaps","regional","mixed","94.0-97.0 MHz","eastern_cape | western_cape","Port Elizabeth/Gqeberha | Mossel Bay | George | Knysna | Hermanus | Oudtshoorn | Caledon | Worcester | Saldanha | Beaufort West | Wild Coast | Garden Route | Karoo","English","english","Regional lifestyle audience across Eastern Cape and Garden Route; connected, family-oriented consumers.","25-49","Balanced","LSM 6-9","Eastern Cape | Garden Route | regional lifestyle | family oriented | connected | events | music | news","","","western_cape","Worcester","english","package | spot","00:00-05:00 | 00:00-06:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-15:00 | 15:00-18:00 | 15:00-19:00 | 18:00-21:00 | 19:00-21:00 | 21:00-00:00","Algoa Club - Plan A - Generic & Sponsorship - 6 Months | Algoa Club - Plan A - Generic Only - 6 Months | Generic & Streaming Pre-Roll Package - 6 Months","600","600","224280","37380","448560",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Channel Africa","radio_channel_africa","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","national","unknown","","","","","unknown","Pan-African / beyond-SA audience","25-54","Balanced","LSM 5-9","international | Africa","","","","","","","00:00-03:00 | 03:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-13:00 | 13:00-14:00 | 14:00-17:00 | 17:00-18:00 | 19:00-20:00 | 20:00-21:00 | 21:00-24:00 | 12:00-14:00 | 18:00-19:00 | 20:00-24:00","","","330","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","East Coast Radio","radio_east_coast_radio","no","0","missing_numeric_prices","yes_fill_required","regional","unknown","","kwazulu_natal","","English","english","KZN commercial radio audience.","25-49","Female-leaning","LSM 7-10","KZN | commercial | hit music | regional","","","","","","","","","","","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Good Hope FM","radio_good_hope_fm","yes","28","loaded_in_usable_inventory","review_and_complete_any_gaps","regional","unknown","","western_cape","Cape Town | Overberg | Plettenberg Bay","English","english","Young, global, rooted, now-generation listeners in the Cape.","Adults 15+; youth-leaning","Balanced","LSM 7-10","Cape Town | young | CHR | R&B | pop | hip hop | dance | lifestyle","680000","","western_cape","Plettenberg Bay","english","spot","00:00-01:00 | 00:00-06:00 | 01:00-05:00 | 01:00-06:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-15:00 | 15:00-18:00 | 18:00-22:00","","210","210","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Ikwekwezi FM","radio_ikwekwezi_fm","yes","18","loaded_in_usable_inventory","review_and_complete_any_gaps","regional","unknown","","mpumalanga","","isiNdebele","isindebele","isiNdebele-speaking and understanding audiences.","Adults 15+","Balanced","LSM 3-6","isiNdebele | community | music | talk | Mpumalanga","1156000","","mpumalanga","","isindebele","spot","00:00-03:00 | 03:00-05:00 | 03:00-06:00 | 05:00-06:00 | 06:00-07:00 | 06:00-09:00 | 07:00-09:00 | 09:00-10:00 | 09:00-12:00 | 10:00-12:00 | 12:00-15:00 | 15:00-18:00 | 18:00-19:00 | 18:00-21:00 | 19:00-21:00","","240","240","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Jozi FM","radio_jozi_fm","yes","19","loaded_in_usable_inventory","review_and_complete_any_gaps","regional","mixed","105.8 FM","gauteng","Johannesburg | Soweto | Kagiso | Lenasia | Krugersdorp | Randfontein | Kempton Park | Germiston | Alberton","Multilingual","unknown","Working-class, multicultural, educated community audience with strong Soweto/Johannesburg roots.","18-35","Male-leaning","LSM 5-8","community | Soweto | Johannesburg | multilingual | working-class | local culture | discussion | music","","","gauteng","Soweto","unknown","package | spot","00:00-05:00 | 00:00-06:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-15:00 | 12:00-16:00 | 15:00-18:00 | 16:00-20:00 | 18:00-22:00 | 20:00-22:00 | 22:00-00:00","Club Package - Generic & Pre-Rolls - 6 Months | Generic & Sponsorship - 6 Months | Plan A - Generic Only - 6 Months","1290","1290","336930","56155","576360",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Kaya 959","radio_kaya_959","yes","29","loaded_in_usable_inventory","review_and_complete_any_gaps","regional","strong","95.9 FM","gauteng","Johannesburg | Pretoria boundary | East Rand | Vanderbijlpark | Carletonville","English","english","Urban black middle-class Gauteng audience, influential and aspirational.","25-49","Male-leaning","LSM 7-10","urban | black middle class | aspirational | culture | music | news | talk | Gauteng","515000","897000","gauteng","Vanderbijlpark","english","package | spot","00:00-05:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-15:00 | 15:00-18:00 | 18:00-20:00 | 20:00-00:00","Lunch Time | Powerweek | Retail Package | Weekend Package | Workzone","420","420","23000","","91920",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Kfm 94.5","radio_kfm_94_5","no","0","missing_numeric_prices","yes_fill_required","regional","unknown","94.5 FM","western_cape","Cape Town | Mossel Bay | George | Knysna | Hermanus | Oudtshoorn | Caledon | Worcester | Malmesbury | Saldanha | Beaufort West","English","english","Western Cape adults 25-54, LSM 7-10.","25-54","Female-leaning","LSM 7-10","Cape Town | Western Cape | adult contemporary | music | LSM 7-10","","862000","","","","","","","","","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Lesedi FM","radio_lesedi_fm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","regional","unknown","","free_state","Bloemfontein","Sesotho","sesotho","Sesotho-speaking and understanding communities.","Adults 15+","Female-leaning","LSM 4-7","Sesotho | Free State | community | music | talk","3529000","","","","","","00:00-02:00 | 02:00-05:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-12:30 | 12:30-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-20:00 | 20:00-24:00 | 02:00-06:00 | 06:00-07:00 | 07:00-09:00 | 12:00-15:00 | 18:00-21:00 | 21:00-24:00 | 18:00-20:00 | 20:00-22:00 | 22:00-24:00","","","540","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
