source_file,channel,page_count
Algoa FM - Algoa Club Package - Plan A - Generic & Sponsorship -2026.pdf,Radio,3
Algoa FM - Algoa Club Package - Plan A - Generic Only -2026.pdf,Radio,2
Algoa FM - Club Package - Generic & Pre-Rolls - 6 Months - 2026.pdf,Radio,3
BlackSpace VSBLT_OOH Sites Q3_ 2025.pdf,OOH,67
Direct Kaya Packages (Discounted)  (1).pdf,Radio,6
Direct Kaya Packages (Discounted) .pdf,Radio,6
Jozi FM - Club Package - Generic & Pre-Rolls - 6 Months - 2026.pdf,Radio,3
Jozi FM - Plan A - Generic & Sponsorship - 2026.pdf,Radio,3
Jozi FM - Plan A - Generic Only - 2026.pdf,Radio,2
SABC-Radio-Rates-Fiscal-2024-2025 (1).pdf,Radio,25
SABC_Sports_Rate_April_-_June_202_[2]_compressed(2).pdf,TV,18
SABC_TV_Rate_June_2025.pdf,TV,26
Smile 90.4FM - Impact Plus package - 2026.pdf,Radio,5
Y PACKAGES ONE PAGER.pdf,Radio,1
