station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Munghana Lonene FM,station,,,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R4,000–R6,000 per 30"" spot; Drive (16:00–18:00): R3,000–R4,500 (SABC FY2024-2025 rate card) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_munghana_lonene_fm|station,radio_munghana_lonene_fm,radio_station
Munghana Lonene FM,slot,00:00-03:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|00:00-03:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,03:00-05:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|03:00-05:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,05:00-06:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|05:00-06:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,06:00-09:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|06:00-09:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,09:00-12:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|09:00-12:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,12:00-14:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|12:00-14:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,14:00-15:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|14:00-15:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,15:00-18:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|15:00-18:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,18:00-19:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|18:00-19:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,19:00-22:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|19:00-22:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,22:00-24:00,weekday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|weekday|22:00-24:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,00:00-03:00,saturday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|saturday|00:00-03:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,03:00-06:00,saturday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|saturday|03:00-06:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,06:00-07:00,saturday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|saturday|06:00-07:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,07:00-09:00,saturday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|saturday|07:00-09:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,09:00-12:00,saturday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|saturday|09:00-12:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,12:00-14:00,saturday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|saturday|12:00-14:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,14:00-18:00,saturday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|saturday|14:00-18:00,radio_munghana_lonene_fm,radio_slot
Munghana Lonene FM,slot,18:00-20:00,saturday,,"24/7 terrestrial FM; Xitsonga/Shangaan-language, Limpopo",regional,limpopo; mpumalanga; gauteng; north_west,,xitsonga,Xitsonga-speaking family-oriented audience across multiple provinces.,Adults 15+,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,Xitsonga; family; community; multi-province; music; talk,,,,,,,radio_munghana_lonene_fm|slot|saturday|18:00-20:00,radio_munghana_lonene_fm,radio_slot
